Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,28,4,615,108,226,0.478,15,60,0.25,93,166,0.56,0.511,55,74,0.743,57,122,179,28,17,19,34,53,286
2,Steven Adams,C,29,MEM,42,42,1133,157,263,0.597,0,1,0,157,262,0.599,0.597,47,129,0.364,214,271,485,97,36,46,79,98,361
3,Bam Adebayo,C,25,MIA,47,47,1649,403,747,0.539,1,10,0.1,402,737,0.545,0.54,197,250,0.788,133,336,469,146,54,38,123,135,1004
4,Ochai Agbaji,SG,22,UTA,29,0,373,43,90,0.478,18,50,0.36,25,40,0.625,0.578,10,16,0.625,17,30,47,14,3,4,9,38,114
5,Santi Aldama,PF,22,MEM,47,16,1024,151,315,0.479,61,164,0.372,90,151,0.596,0.576,64,90,0.711,51,166,217,57,32,33,31,94,427
6,Nickeil Alexander-Walker,SG,24,UTA,35,3,523,83,168,0.494,35,87,0.402,48,81,0.593,0.598,27,39,0.692,8,51,59,76,24,14,44,57,228
7,Grayson Allen,SG,27,MIL,47,45,1288,161,363,0.444,90,224,0.402,71,139,0.511,0.567,86,95,0.905,42,123,165,122,41,10,53,72,498
8,Jarrett Allen,C,24,CLE,46,46,1522,265,417,0.635,1,8,0.125,264,409,0.645,0.637,112,157,0.713,136,309,445,75,39,54,68,101,643
9,Jose Alvarado,PG,24,NOP,51,9,1122,172,423,0.407,74,217,0.341,98,206,0.476,0.494,61,75,0.813,21,102,123,161,60,8,69,108,479
10,Kyle Anderson,PF,29,MIN,42,27,1122,131,265,0.494,27,61,0.443,104,204,0.51,0.545,68,87,0.782,31,165,196,175,51,37,62,99,357
11,Giannis Antetokounmpo,PF,28,MIL,40,40,1337,449,838,0.536,33,120,0.275,416,718,0.579,0.555,341,528,0.646,95,392,487,209,32,33,162,140,1272
12,Thanasis Antetokounmpo,SF,30,MIL,22,0,92,4,17,0.235,0,4,0,4,13,0.308,0.235,3,6,0.5,7,15,22,4,2,3,7,10,11
13,Cole Anthony,PG,22,ORL,33,3,847,138,317,0.435,38,114,0.333,100,203,0.493,0.495,82,92,0.891,17,134,151,135,21,17,52,85,396
14,OG Anunoby,SF,25,TOR,45,45,1611,282,617,0.457,86,235,0.366,196,382,0.513,0.527,110,134,0.821,68,180,248,91,93,35,98,133,760
15,Ryan Arcidiacono,PG,28,NYK,11,0,26,1,5,0.2,1,3,0.333,0,2,0,0.3,0,0,,0,4,4,2,2,0,1,3,3
16,Deni Avdija,SF,22,WAS,48,30,1256,151,344,0.439,40,140,0.286,111,204,0.544,0.497,74,98,0.755,52,248,300,120,40,26,69,143,416
17,Deandre Ayton,C,24,PHO,43,43,1285,333,584,0.57,7,23,0.304,326,561,0.581,0.576,91,127,0.717,124,311,435,91,21,29,90,122,764
18,Udoka Azubuike,C,23,UTA,18,0,71,14,17,0.824,0,0,,14,17,0.824,0.824,2,6,0.333,10,17,27,5,2,4,4,7,30
